Stock_type,Title,Mileage,Price,Price_drop,car_battery,Dealer_Name,Location
Used,2019 Tesla Model 3 Long Range,"62,276 mi.","$22,410",$387 price drop,EV Battery Rating | Excellent,Zeigler Chevrolet,"Schaumburg, IL"
Used,2017 Tesla Model S 75D,"57,767 mi.","$33,000",,EV Battery Rating | Excellent,Dream Drive Inc,"Los Angeles, CA"
Used,2023 Tesla Model 3 Base,"23,990 mi.","$27,384",,EV Battery Rating | Excellent,Hertz Car Sales Lynn,"Lynn, MA"
Used,2023 Tesla Model 3 Base,"39,507 mi.","$25,989",$490 price drop,EV Battery Rating | Excellent,EchoPark Automotive Sacramento - Roseville,"Roseville, CA"
Used,2016 Tesla Model X P90D,"18,476 mi.","$38,880",,EV Battery Rating | Excellent,AUTO 206,"Kent, WA"
Used,2014 Tesla Model S P85D,"100,521 mi.","$23,991","$1,508 price drop",EV Battery Rating | Excellent,Mercedes-Benz of South Bay,"Torrance, CA"
Used,2017 Tesla Model S 100D,"44,673 mi.","$33,999",,EV Battery Rating | Good,Concord Honda,"Concord, CA"
Used,2023 Tesla Model 3 Long Range,"4,526 mi.","$39,800",,EV Battery Rating | Excellent,Craig and Landreth,"Clarksville, IN"
Used,2020 Tesla Model X Performance Dual Motor All-Wheel Drive,"13,795 mi.","$64,888",,EV Battery Rating | Excellent,Euro Auto Sale,"Santa Clara, CA"
Used,2019 Tesla Model 3 Mid Range,573 mi.,"$29,995",,EV Battery Rating | Excellent,Nxcess Motorcars,"Houston, TX"
Used,2018 Tesla Model 3 Long Range,"63,672 mi.","$19,991","$1,000 price drop",EV Battery Rating | Excellent,West International Auto Sales,"Miramar, FL"
Used,2018 Tesla Model S P100D,"33,909 mi.","$51,995",,EV Battery Rating | Excellent,Karma Fuquay,"Fuquay Varina, NC"
Used,2016 Tesla Model X P90D,"106,623 mi.","$27,644","$1,804 price drop",EV Battery Rating | Good,Miller Toyota,"Manassas, VA"
Used,2020 Tesla Model X Long Range Dual Motor All-Wheel Drive,"40,384 mi.","$55,000","$1,000 price drop",EV Battery Rating | Excellent,Koons of Tysons Chevrolet Buick GMC,"Vienna, VA"
Used,2018 Tesla Model X 100D,"33,457 mi.","$43,471","$1,306 price drop",EV Battery Rating | Excellent,Auto Republic Fullerton,"Fullerton, CA"
Used,2017 Tesla Model S 75D,"41,239 mi.","$33,400",,EV Battery Rating | Excellent,Keywood Motors,"Fort Myers, FL"
Used,2022 Tesla Model X Plaid Tri Motor All-Wheel Drive,"28,783 mi.","$79,988",,EV Battery Rating | Excellent,Jaguar Land Rover Newport Beach,"Newport Beach, CA"
Used,2020 Tesla Model 3 Standard,"55,290 mi.","$23,300",,EV Battery Rating | Excellent,Jim McKay Chevrolet,"Fairfax, VA"
Used,2024 Tesla Cybertruck Foundation series,984 mi.,Not Priced,,,Ilusso Palm Beach,"Boynton Beach, FL"
Used,2022 Tesla Model 3 Base,"58,307 mi.","$20,990",,EV Battery Rating | Excellent,Feldman Chevrolet of Livonia,"Livonia, MI"
Used,2023 Tesla Model S Plaid,"6,175 mi.","$86,999",,EV Battery Rating | Excellent,Vegas Auto Gallery,"Las Vegas, NV"
Used,2019 Tesla Model S P100D,"48,769 mi.","$43,975",,EV Battery Rating | Excellent,Auto Group of Louisville,"Louisville, KY"
Used,2021 Tesla Model 3 Standard Range Plus,"44,122 mi.","$26,829","$2,170 price drop",EV Battery Rating | Excellent,Fontana Motors Direct,"Fontana, CA"
Used,2020 Tesla Model 3 Long Range,"66,575 mi.","$22,000",,EV Battery Rating | Excellent,Drive A Dream,"Marietta, GA"
Used,2021 Tesla Model X Long Range Dual Motor All-Wheel Drive,"35,371 mi.","$49,700",,EV Battery Rating | Excellent,Lease Return Center,"Triangle, VA"
Used,2017 Tesla Model X 75D,"61,495 mi.","$30,488",,EV Battery Rating | Excellent,Major Motor Cars,"Santa Monica, CA"
Used,2020 Tesla Model 3 Standard Range Plus,"26,407 mi.","$25,500","$1,500 price drop",EV Battery Rating | Excellent,Certified Benz & Beemer,"Scottsdale, AZ"
Used,2022 Tesla Model 3 Long Range,"56,721 mi.","$29,999",,,Sanger Chevrolet GMC,"Sanger, CA"
Used,2021 Tesla Model 3 Standard Range Plus,"23,000 mi.","$26,997",,EV Battery Rating | Excellent,Fred's Executive Auto,"Woodbridge, VA"
Used,2019 Tesla Model X Long Range,"45,107 mi.","$64,998",,EV Battery Rating | Excellent,Dallas Autos Direct,"Carrollton, TX"
Used,2018 Tesla Model X P100D,"59,457 mi.","$45,995",,EV Battery Rating | Excellent,Highline Auto Sales,"Willowbrook, IL"
Used,2020 Tesla Model 3 Performance,"7,900 mi.","$33,500",,EV Battery Rating | Excellent,WHITEWATER CDJR,"St Charles, MN"
Used,2015 Tesla Model S 70D,"54,984 mi.","$22,471",,EV Battery Rating | Excellent,Auto Republic Fullerton,"Fullerton, CA"
Used,2021 Tesla Model S Plaid Tri Motor All-Wheel Drive,"22,012 mi.","$73,786",,EV Battery Rating | Excellent,Birmingham Luxury Motors,"Birmingham, AL"
Used,2017 Tesla Model S 60D,"41,042 mi.","$22,999",,EV Battery Rating | Outstanding,Florida Fine Cars Margate,"Margate, FL"
Used,2016 Tesla Model X 90D,"74,521 mi.","$39,988",,EV Battery Rating | Excellent,AP Fairfax,"Fairfax, VA"
Used,2021 Tesla Model S Long Range Dual Motor All-Wheel Drive,"35,899 mi.","$47,335",$595 price drop,EV Battery Rating | Excellent,Nelson Mazda Cool Springs,"Franklin, TN"
Used,2018 Tesla Model S 75D,"41,424 mi.","$34,500","$1,000 price drop",EV Battery Rating | Excellent,Courtesy Volvo Cars of Scottsdale,"Scottsdale, AZ"
Used,2021 Tesla Model S Long Range Dual Motor All-Wheel Drive,"18,884 mi.","$48,687","$5,777 price drop",EV Battery Rating | Excellent,Fowler Honda of Longmont,"Longmont, CO"
Used,2022 Tesla Model X Plaid Tri Motor All-Wheel Drive,"24,794 mi.","$73,900",$800 price drop,EV Battery Rating | Excellent,Hanna Imports,"Raleigh, NC"
Used,2022 Tesla Model X Plaid Tri Motor All-Wheel Drive,"16,263 mi.","$84,991",,EV Battery Rating | Excellent,Legend Auto Sales Inc,"Burien, WA"
Used,2015 Tesla Model S 85D,"122,800 mi.","$20,599",$400 price drop,EV Battery Rating | Excellent,Broadway Motoring Inc,"Ayer, MA"
Used,2020 Tesla Model X Long Range,"33,323 mi.","$52,000","$1,266 price drop",EV Battery Rating | Excellent,Mini of Wesley Chapel,"Wesley Chapel, FL"
Used,2022 Tesla Model 3 Base,"44,301 mi.","$24,999",,EV Battery Rating | Excellent,Lee Johnson Hyundai of Everett,"Everett, WA"
Used,2016 Tesla Model X 90D,"71,756 mi.","$29,999",,EV Battery Rating | Good,CarGet Motors,"Woodbridge, VA"
Used,2020 Tesla Model X Long Range Dual Motor All-Wheel Drive,"42,427 mi.","$63,888",,EV Battery Rating | Excellent,Auto Junction Benz & Beemers,"Tempe, AZ"
Used,2013 Tesla Model S Base,"113,660 mi.","$17,999",,,Nmotion Motors,"Tracy, CA"
Used,2016 Tesla Model X 75D NAVIGATION LEATHER SEATS REAR CAMERA KEYLESS START BLUETOOTH,"56,981 mi.","$32,996",,EV Battery Rating | Excellent,Texas Car One,"Carrollton, TX"
Used,2015 Tesla Model S 85D,"65,943 mi.","$24,881",,EV Battery Rating | Excellent,Legend Auto Sales Inc,"Burien, WA"
Used,2018 Tesla Model X P100D,"46,931 mi.","$55,898",,EV Battery Rating | Excellent,Import Exchange Inc.,"Mokena, IL"
Used,2023 Tesla Model S Plaid Tri Motor All-Wheel Drive,"2,405 mi.",Not Priced,,EV Battery Rating | Excellent,Gravity Autos Atlanta,"Chamblee, GA"
Used,2022 Tesla Model 3 Long Range,"58,275 mi.","$29,899",,EV Battery Rating | Excellent,Walser Hyundai Coon Rapids,"Minneapolis, MN"
Used,2018 Tesla Model 3 Mid Range,"49,258 mi.","$23,999",,EV Battery Rating | Excellent,Birmingham Luxury Motors,"Birmingham, AL"
Used,2017 Tesla Model S 75D,"51,148 mi.","$28,995",,EV Battery Rating | Excellent,1A Auto Sales,"Walpole, MA"
Used,2019 Tesla Model S 100D,"20,180 mi.","$41,995",,EV Battery Rating | Excellent,Pacific Auto Center - Costa Mesa,"Costa Mesa, CA"
Used,2018 Tesla Model 3 Mid Range,"34,125 mi.","$23,990",$400 price drop,EV Battery Rating | Excellent,Lexus of Palm Beach,"West Palm Beach, FL"
Used,2021 Tesla Model S Plaid,"22,444 mi.","$66,775","$1,000 price drop",EV Battery Rating | Excellent,Highline Auto Sales,"Willowbrook, IL"
Used,2022 Tesla Model 3 Performance,"12,591 mi.","$39,495",,EV Battery Rating | Excellent,Volvo Cars Palo Alto,"Palo Alto, CA"
Used,2021 Tesla Model 3 Performance,"40,531 mi.","$50,523",,EV Battery Rating | Excellent,Right Toyota,"Scottsdale, AZ"
Used,2019 Tesla Model 3 Long Range,"60,208 mi.","$23,795",$500 price drop,EV Battery Rating | Excellent,BMW of Murray,"Murray, UT"
Used,2021 Tesla Model 3 Long Range,"26,460 mi.","$28,372",$600 price drop,EV Battery Rating | Excellent,Old Orchard Nissan,"Skokie, IL"
Used,2015 Tesla Model S P85D,"47,980 mi.","$26,000",,EV Battery Rating | Excellent,Nelson Automotive,"Mt Prospect, IL"
Used,2022 Tesla Model 3 Standard Range,"25,349 mi.","$25,980",,EV Battery Rating | Excellent,CARite of North Orlando,"Sanford, FL"
Used,2016 Tesla Model S 90D,"19,625 mi.","$33,991",,EV Battery Rating | Excellent,Emmons Autoplex,"Webster, TX"
Used,2023 Tesla Model 3 Base,"21,934 mi.","$27,308",,EV Battery Rating | Excellent,Hertz Car Sales Smithtown,"Smithtown, NY"
Used,2022 Tesla Model 3 Base,"55,405 mi.","$29,478",,,McCluskey Chevrolet,"Cincinnati, OH"
Used,2020 Tesla Model 3 Standard Range Plus,"99,161 mi.","$22,000",,EV Battery Rating | Excellent,Motor City,"Lafayette, LA"
Used,2021 Tesla Model 3 Standard Range Plus,"36,455 mi.",Not Priced,,EV Battery Rating | Excellent,Premium Autos,"Norco, CA"
Used,2019 Tesla Model 3 Long Range,"74,942 mi.","$25,995","$2,000 price drop",EV Battery Rating | Excellent,Woodfield Lexus,"Schaumburg, IL"
Used,2020 Tesla Model 3 Standard Range Plus,"90,671 mi.","$18,000",,EV Battery Rating | Excellent,Hanna Imports,"Raleigh, NC"
Used,2022 Tesla Model 3 Long Range,"102,024 mi.","$18,995",,EV Battery Rating | Excellent,Don Jackson CDJR North,"Cumming, GA"
Used,2021 Tesla Model 3 Long Range,"39,207 mi.","$29,972",,EV Battery Rating | Excellent,Scottsdale Mitsubishi,"Scottsdale, AZ"
Used,2022 Tesla Model 3 Base,"59,485 mi.","$25,000","$1,000 price drop",EV Battery Rating | Excellent,Clement Pre-Owned (Florissant),"Florissant, MO"
Used,2020 Tesla Model 3 Long Range,"77,791 mi.","$20,998",,EV Battery Rating | Good,Price Pro,"Maumee, OH"
Used,2016 Tesla Model S P100D,"64,458 mi.","$35,999",,EV Battery Rating | Good,BMW of Carlsbad,"Carlsbad, CA"
Used,2021 Tesla Model 3 Standard Range Plus,"39,770 mi.","$23,999",,EV Battery Rating | Excellent,Premium Autos,"Norco, CA"
Used,2020 Tesla Model 3 Standard Range Plus,"22,415 mi.","$28,995",,EV Battery Rating | Excellent,National City Auto Center,"National City, CA"
Used,2023 Tesla Model 3 Base,"22,176 mi.","$27,108",$727 price drop,EV Battery Rating | Excellent,Hertz Car Sales Norwalk,"Norwalk, CA"
Used,2013 Tesla Model S Base,"47,149 mi.","$19,933",,,Hyundai of Kirkland,"Kirkland, WA"
Used,2013 Tesla Model S Performance,"70,119 mi.","$21,979",,EV Battery Rating | Excellent,OFFLEASE ORLANDO,"Maitland, FL"
Used,2023 Tesla Model S Standard Range,"5,660 mi.","$73,970",,EV Battery Rating | Excellent,Stevenson-Hendrick Honda Wilmington,"Wilmington, NC"
Used,2022 Tesla Model 3 Standard Range,"59,913 mi.","$24,999",,EV Battery Rating | Excellent,Amato Chrysler Jeep Dodge Ram,"Glendale, WI"
Used,2019 Tesla Model 3 Long Range,"106,131 mi.","$18,997",,EV Battery Rating | Excellent,Magnetism Motors,"Lawrenceville, GA"
Used,2023 Tesla Model 3 Base,"30,609 mi.","$26,260",$589 price drop,EV Battery Rating | Excellent,Hertz Car Sales Riverside,"Riverside, CA"
Used,2016 Tesla Model X 90D,"106,207 mi.","$31,995",,EV Battery Rating | Excellent,ZAG Motors Everett,"Everett, WA"
Used,2023 Tesla Model 3 Standard Range,"19,321 mi.","$37,995","$2,000 price drop",EV Battery Rating | Outstanding,US41 Motor Sales,"Brook, IN"
Used,2015 Tesla Model S 85D,"86,361 mi.","$25,485",,EV Battery Rating | Excellent,Chicago Cars US,"Summit, IL"
Used,2016 Tesla Model X P100D,"31,021 mi.","$46,544","$1,183 price drop",EV Battery Rating | Excellent,Honolulu Buick GMC Cadillac,"Honolulu, HI"
Used,2015 Tesla Model S P90D,"84,563 mi.","$24,522",,EV Battery Rating | Excellent,Victory Chevrolet GMC Paola,"Paola, KS"
Used,2020 Tesla Model 3 Long Range,"35,431 mi.","$27,500",,EV Battery Rating | Excellent,Koons Tysons Toyota,"Vienna, VA"
Used,2020 Tesla Model 3 Long Range,"46,513 mi.","$27,987",,EV Battery Rating | Excellent,Star Motor Sales,"Downers Grove, IL"
Used,2018 Tesla Model 3 Mid Range Battery,"44,024 mi.","$22,899",$100 price drop,EV Battery Rating | Excellent,California Motors Direct - Montclair,"Montclair, CA"
Used,2018 Tesla Model 3 Long Range,"57,428 mi.","$25,987",,EV Battery Rating | Excellent,Morgan Automotive Inc.,"Manheim, PA"
Used,2020 Tesla Model 3 Long Range,"26,931 mi.","$27,980","$4,000 price drop",EV Battery Rating | Excellent,Driven Auto Sales,"Burbank, IL"
Used,2015 Tesla Model S 85D,"39,675 mi.",Not Priced,,EV Battery Rating | Excellent,High Line Auto Sales,"Salem, NH"
Used,2016 Tesla Model X AWD 4dr 90D,"84,860 mi.","$28,890","$1,000 price drop",EV Battery Rating | Excellent,Chicago Auto Capital,"Elgin, IL"
Used,2015 Tesla Model S P85D,"85,000 mi.","$26,995",,EV Battery Rating | Excellent,Action Auto Sales and Finance Inc.,"Lehi, UT"
Used,2017 Tesla Model X 75D AWD,"55,341 mi.","$34,980",,EV Battery Rating | Excellent,Driven Auto Sales,"Burbank, IL"
Used,2019 Tesla Model 3 Standard Range Plus,"78,840 mi.","$19,999",,EV Battery Rating | Excellent,Auto Web Expo,"Plano, TX"
Used,2021 Tesla Model 3 Standard Range Plus,"13,418 mi.","$37,995",,EV Battery Rating | Excellent,AUTOSOURCE,"Honolulu, HI"
Used,2023 Tesla Model 3 Base,"29,510 mi.","$26,369","$1,328 price drop",EV Battery Rating | Excellent,Hertz Car Sales Philadelphia,"Philadelphia, PA"
Used,2016 Tesla Model X P90D Sport Utility 4D,"125,122 mi.","$31,999",,EV Battery Rating | Excellent,Dart Motors,"Mchenry, IL"
Used,2018 Tesla Model 3 Long Range,"59,595 mi.","$27,975","$1,000 price drop",EV Battery Rating | Excellent,First City Cars and Trucks,"Rochester, NH"
Used,2023 Tesla Model 3 Standard Range,"9,427 mi.","$29,495",$505 price drop,EV Battery Rating | Excellent,Webb Chevy,"Oak Lawn, IL"
Used,2017 Tesla Model X 90D,"40,744 mi.","$38,998",,EV Battery Rating | Excellent,AutoNation Subaru Arapahoe,"Centennial, CO"
Used,2019 Tesla Model 3 Mid Range,"62,829 mi.","$25,800",,EV Battery Rating | Excellent,Isaacs Pre-owned,"Jeffersonville, IN"
Used,2018 Tesla Model X 75D AWD,"24,319 mi.","$49,987",,EV Battery Rating | Excellent,Versatile Collection,"Alpharetta, GA"
Used,2018 Tesla Model 3 Long Range,"48,826 mi.","$22,977",,EV Battery Rating | Excellent,Lease Return Center,"Triangle, VA"
Used,2019 Tesla Model 3 Long Range,"42,090 mi.","$32,988",,EV Battery Rating | Excellent,Mall of Georgia MINI,"Buford, GA"
Used,2015 Tesla Model S 85,"68,294 mi.","$22,985",,EV Battery Rating | Excellent,Paradise Automotive Group,"San Juan Capistrano, CA"
Used,2018 Tesla Model 3 Long Range,"80,612 mi.","$23,995",,EV Battery Rating | Excellent,Secured Auto Group,"Salt Lake City, UT"
Used,2015 Tesla Model S 70D,"82,216 mi.","$19,099",,EV Battery Rating | Excellent,LA City Cars,"Inglewood, CA"
Used,2020 Tesla Model 3 Standard Range Plus,"42,753 mi.","$24,980",,EV Battery Rating | Excellent,Driven Auto of Waukegan,"Waukegan, IL"
Used,2017 Tesla Model X 75D AWD,"85,201 mi.","$29,980",,EV Battery Rating | Excellent,Driven Auto of Waukegan,"Waukegan, IL"
Used,2019 Tesla Model S P100D,"48,769 mi.","$43,975",,EV Battery Rating | Excellent,Auto Group of Louisville,"Louisville, KY"
Used,2021 Tesla Model 3 Standard Range Plus,"44,122 mi.","$26,829","$2,170 price drop",EV Battery Rating | Excellent,Fontana Motors Direct,"Fontana, CA"
Used,2020 Tesla Model 3 Long Range,"66,575 mi.","$22,000",,EV Battery Rating | Excellent,Drive A Dream,"Marietta, GA"
Used,2021 Tesla Model X Long Range Dual Motor All-Wheel Drive,"35,371 mi.","$49,700",,EV Battery Rating | Excellent,Lease Return Center,"Triangle, VA"
Used,2017 Tesla Model X 75D,"61,495 mi.","$30,488",,EV Battery Rating | Excellent,Major Motor Cars,"Santa Monica, CA"
Used,2020 Tesla Model 3 Standard Range Plus,"26,407 mi.","$25,500","$1,500 price drop",EV Battery Rating | Excellent,Certified Benz & Beemer,"Scottsdale, AZ"
Used,2022 Tesla Model 3 Long Range,"56,721 mi.","$29,999",,,Sanger Chevrolet GMC,"Sanger, CA"
Used,2022 Tesla Model 3 Base,"87,998 mi.","$20,607","$2,026 price drop",EV Battery Rating | Excellent,Victory GMC St. Joseph,"Saint Joseph, MO"
Used,2021 Tesla Model 3 Standard Range Plus,"23,000 mi.","$26,997",,EV Battery Rating | Excellent,Fred's Executive Auto,"Woodbridge, VA"
Used,2021 Tesla Model 3 Long Range,"23,251 mi.","$29,750",,EV Battery Rating | Excellent,eCarOne,"Plano, TX"
Used,2019 Tesla Model X Long Range,"45,107 mi.","$64,998",,EV Battery Rating | Excellent,Dallas Autos Direct,"Carrollton, TX"
Used,2018 Tesla Model X P100D,"59,457 mi.","$45,995",,EV Battery Rating | Excellent,Highline Auto Sales,"Willowbrook, IL"
Used,2020 Tesla Model 3 Performance,"7,900 mi.","$33,500",,EV Battery Rating | Excellent,WHITEWATER CDJR,"St Charles, MN"
Used,2015 Tesla Model S 70D,"54,984 mi.","$22,471",,EV Battery Rating | Excellent,Auto Republic Fullerton,"Fullerton, CA"
Used,2021 Tesla Model 3 Standard Range Plus,"78,656 mi.","$22,499",,EV Battery Rating | Excellent,Fontana Motors Direct,"Fontana, CA"
Used,2023 Tesla Model 3 Standard Range,"17,413 mi.","$27,995",,EV Battery Rating | Excellent,Acura of Ramsey,"Ramsey, NJ"
Used,2021 Tesla Model 3 Standard Range Plus,"62,486 mi.","$25,000",,EV Battery Rating | Excellent,Grubbs INFINITI,"Grapevine, TX"
Used,2017 Tesla Model X 100D,"18,820 mi.","$42,500",,EV Battery Rating | Excellent,Martin Chevrolet,"Crystal Lake, IL"
Used,2016 Tesla Model X AWD 4dr 75D,"56,694 mi.","$32,980",,EV Battery Rating | Excellent,Driven Auto of Waukegan,"Waukegan, IL"
,Used 2017 Tesla Model S 100D,"94,145 mi.","$24,995",,,Premium Auto Sales,"Sacramento, CA"
,Used 2016 Tesla Model S 90D,"47,429 mi.","$28,990",,EV Battery Rating | Excellent,Bentley Indianapolis,"Indianapolis, IN"
,Used 2022 Tesla Model 3 Base,"57,845 mi.","$24,603",,EV Battery Rating | Excellent,Hertz Car Sales Austin,"Austin, TX"
,Used 2021 Tesla Model 3 Standard Range Plus,"37,612 mi.","$27,500",,EV Battery Rating | Excellent,Clement Pre-Owned (St. Charles),"St. Charles, MO"
,Used 2022 Tesla Model 3 Long Range,"52,089 mi.",Not Priced,,EV Battery Rating | Excellent,Pristine Mitsubishi,"Commack, NY"
,Used 2018 Tesla Model 3 Long Range,"47,529 mi.","$26,500",,EV Battery Rating | Excellent,Clement Pre-Owned (St. Charles),"St. Charles, MO"
,Used 2023 Tesla Model 3 Base,"22,567 mi.","$27,244",,EV Battery Rating | Excellent,Hertz Car Sales Smithtown,"Smithtown, NY"
,Used 2018 Tesla Model 3 Long Range,"71,852 mi.","$22,106",$585 price drop,EV Battery Rating | Excellent,Rusnak/Westlake Audi,"Thousand Oaks, CA"
